Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Days,Month,Year,Use IF Statement,Left(4 Char),Mid,Right,Change  Date Format,TRIm,Concat,Change Date Format1,SUM,SUMIF,SUMIFS,COUNT,Countif,Countifs
24,11/29/2023,CUST024,Female,49,Clothing,1,300,300,29,11,2023,0,Clot,lothi,hing,29/11/2023,Clothing,300300,29-11-2023,,,,,,
25,12/26/2023,CUST025,Female,64,Beauty,1,50,50,26,12,2023,1,Beau,eauty,auty,26/12/2023,Beauty,5050,26-12-2023,,,,,,
26,10/7/2023,CUST026,Female,28,Electronics,2,500,1000,7,10,2023,0,Elec,lectr,nics,07/10/2023,Electronics,5001000,07-10-2023,,,,,,
27,8/3/2023,CUST027,Female,38,Beauty,2,25,50,3,8,2023,1,Beau,eauty,auty,03/08/2023,Beauty,2550,03-08-2023,,,,,,
28,4/23/2023,CUST028,Female,43,Beauty,1,500,500,23,4,2023,1,Beau,eauty,auty,23/04/2023,Beauty,500500,23-04-2023,,,,,,
29,8/18/2023,CUST029,Female,42,Electronics,1,30,30,18,8,2023,0,Elec,lectr,nics,18/08/2023,Electronics,3030,18-08-2023,,,,,,
30,10/29/2023,CUST030,Female,39,Beauty,3,300,900,29,10,2023,1,Beau,eauty,auty,29/10/2023,Beauty,300900,29-10-2023,,,,,,
31,5/23/2023,CUST031,Male,44,Electronics,4,300,1200,23,5,2023,0,Elec,lectr,nics,23/05/2023,Electronics,3001200,23-05-2023,,,,,,
32,1/4/2023,CUST032,Male,30,Beauty,3,30,90,4,1,2023,1,Beau,eauty,auty,04/01/2023,Beauty,3090,04-01-2023,,,,,,
33,3/23/2023,CUST033,Female,50,Electronics,2,50,100,23,3,2023,0,Elec,lectr,nics,23/03/2023,Electronics,50100,23-03-2023,,,,,,
34,12/24/2023,CUST034,Female,51,Clothing,3,50,150,24,12,2023,0,Clot,lothi,hing,24/12/2023,Clothing,50150,24-12-2023,,,,,,
35,8/5/2023,CUST035,Female,58,Beauty,3,300,900,5,8,2023,1,Beau,eauty,auty,05/08/2023,Beauty,300900,05-08-2023,,,,,,
36,6/24/2023,CUST036,Male,52,Beauty,3,300,900,24,6,2023,1,Beau,eauty,auty,24/06/2023,Beauty,300900,24-06-2023,,,,,,
37,5/23/2023,CUST037,Female,18,Beauty,3,25,75,23,5,2023,1,Beau,eauty,auty,23/05/2023,Beauty,2575,23-05-2023,,,,,,
38,3/21/2023,CUST038,Male,38,Beauty,4,50,200,21,3,2023,1,Beau,eauty,auty,21/03/2023,Beauty,50200,21-03-2023,,,,,,
39,4/21/2023,CUST039,Male,23,Clothing,4,30,120,21,4,2023,0,Clot,lothi,hing,21/04/2023,Clothing,30120,21-04-2023,,,,,,
40,6/22/2023,CUST040,Male,45,Beauty,1,50,50,22,6,2023,1,Beau,eauty,auty,22/06/2023,Beauty,5050,22-06-2023,,,,,,
41,2/22/2023,CUST041,Male,34,Clothing,2,25,50,22,2,2023,0,Clot,lothi,hing,22/02/2023,Clothing,2550,22-02-2023,,,,,,
42,2/17/2023,CUST042,Male,22,Clothing,3,300,900,17,2,2023,0,Clot,lothi,hing,17/02/2023,Clothing,300900,17-02-2023,,,,,,
43,7/14/2023,CUST043,Female,48,Clothing,1,300,300,14,7,2023,0,Clot,lothi,hing,14/07/2023,Clothing,300300,14-07-2023,,,,,,
44,2/19/2023,CUST044,Female,22,Clothing,1,25,25,19,2,2023,0,Clot,lothi,hing,19/02/2023,Clothing,2525,19-02-2023,,,,,,
45,7/3/2023,CUST045,Female,55,Electronics,1,30,30,3,7,2023,0,Elec,lectr,nics,03/07/2023,Electronics,3030,03-07-2023,,,,,,
46,6/26/2023,CUST046,Female,20,Electronics,4,300,1200,26,6,2023,0,Elec,lectr,nics,26/06/2023,Electronics,3001200,26-06-2023,,,,,,
47,11/6/2023,CUST047,Female,40,Beauty,3,500,1500,6,11,2023,1,Beau,eauty,auty,06/11/2023,Beauty,5001500,06-11-2023,,,,,,
48,5/16/2023,CUST048,Male,54,Electronics,3,300,900,16,5,2023,0,Elec,lectr,nics,16/05/2023,Electronics,300900,16-05-2023,,,,,,
49,1/23/2023,CUST049,Female,54,Electronics,2,500,1000,23,1,2023,0,Elec,lectr,nics,23/01/2023,Electronics,5001000,23-01-2023,,,,,,
50,8/24/2023,CUST050,Female,27,Beauty,3,25,75,24,8,2023,1,Beau,eauty,auty,24/08/2023,Beauty,2575,24-08-2023,,,,,,
51,10/2/2023,CUST051,Male,27,Beauty,3,25,75,2,10,2023,1,Beau,eauty,auty,02/10/2023,Beauty,2575,02-10-2023,,,,,,
52,3/5/2023,CUST052,Female,36,Beauty,1,300,300,5,3,2023,1,Beau,eauty,auty,05/03/2023,Beauty,300300,05-03-2023,,,,,,
53,7/13/2023,CUST053,Male,34,Electronics,2,50,100,13,7,2023,0,Elec,lectr,nics,13/07/2023,Electronics,50100,13-07-2023,,,,,,
54,2/10/2023,CUST054,Female,38,Electronics,3,500,1500,10,2,2023,0,Elec,lectr,nics,10/02/2023,Electronics,5001500,10-02-2023,,,,,,
55,10/10/2023,CUST055,Male,31,Beauty,4,30,120,10,10,2023,1,Beau,eauty,auty,10/10/2023,Beauty,30120,10-10-2023,,,,,,
56,5/31/2023,CUST056,Female,26,Clothing,3,300,900,31,5,2023,0,Clot,lothi,hing,31/05/2023,Clothing,300900,31-05-2023,,,,,,
57,11/18/2023,CUST057,Female,63,Beauty,1,30,30,18,11,2023,1,Beau,eauty,auty,18/11/2023,Beauty,3030,18-11-2023,,,,,,
58,11/13/2023,CUST058,Male,18,Clothing,4,300,1200,13,11,2023,0,Clot,lothi,hing,13/11/2023,Clothing,3001200,13-11-2023,,,,,,
59,7/5/2023,CUST059,Male,62,Clothing,1,50,50,5,7,2023,0,Clot,lothi,hing,05/07/2023,Clothing,5050,05-07-2023,,,,,,
60,10/23/2023,CUST060,Male,30,Beauty,3,50,150,23,10,2023,1,Beau,eauty,auty,23/10/2023,Beauty,50150,23-10-2023,,,,,,
61,4/9/2023,CUST061,Male,21,Beauty,4,50,200,9,4,2023,1,Beau,eauty,auty,09/04/2023,Beauty,50200,09-04-2023,,,,,,
62,12/27/2023,CUST062,Male,18,Beauty,2,50,100,27,12,2023,1,Beau,eauty,auty,27/12/2023,Beauty,50100,27-12-2023,,,,,,
63,2/5/2023,CUST063,Male,57,Electronics,2,25,50,5,2,2023,0,Elec,lectr,nics,05/02/2023,Electronics,2550,05-02-2023,,,,,,
64,1/24/2023,CUST064,Male,49,Clothing,4,25,100,24,1,2023,0,Clot,lothi,hing,24/01/2023,Clothing,25100,24-01-2023,,,,,,
65,12/5/2023,CUST065,Male,51,Electronics,4,500,2000,5,12,2023,0,Elec,lectr,nics,05/12/2023,Electronics,5002000,05-12-2023,,,,,,
66,4/27/2023,CUST066,Female,45,Electronics,1,30,30,27,4,2023,0,Elec,lectr,nics,27/04/2023,Electronics,3030,27-04-2023,,,,,,
67,5/29/2023,CUST067,Female,48,Beauty,4,300,1200,29,5,2023,1,Beau,eauty,auty,29/05/2023,Beauty,3001200,29-05-2023,,,,,,
68,2/10/2023,CUST068,Male,25,Electronics,1,300,300,10,2,2023,0,Elec,lectr,nics,10/02/2023,Electronics,300300,10-02-2023,,,,,,
69,4/30/2023,CUST069,Female,56,Beauty,3,25,75,30,4,2023,1,Beau,eauty,auty,30/04/2023,Beauty,2575,30-04-2023,,,,,,
70,2/21/2023,CUST070,Female,43,Clothing,1,300,300,21,2,2023,0,Clot,lothi,hing,21/02/2023,Clothing,300300,21-02-2023,,,,,,
71,7/14/2023,CUST071,Female,51,Beauty,4,25,100,14,7,2023,1,Beau,eauty,auty,14/07/2023,Beauty,25100,14-07-2023,,,,,,
72,5/23/2023,CUST072,Female,20,Electronics,4,500,2000,23,5,2023,0,Elec,lectr,nics,23/05/2023,Electronics,5002000,23-05-2023,,,,,,
73,8/21/2023,CUST073,Male,29,Electronics,3,30,90,21,8,2023,0,Elec,lectr,nics,21/08/2023,Electronics,3090,21-08-2023,,,,,,
74,11/22/2023,CUST074,Female,18,Beauty,4,500,2000,22,11,2023,1,Beau,eauty,auty,22/11/2023,Beauty,5002000,22-11-2023,,,,,,
75,7/6/2023,CUST075,Male,61,Beauty,4,50,200,6,7,2023,1,Beau,eauty,auty,06/07/2023,Beauty,50200,06-07-2023,,,,,,
76,3/25/2023,CUST076,Female,22,Electronics,2,50,100,25,3,2023,0,Elec,lectr,nics,25/03/2023,Electronics,50100,25-03-2023,,,,,,
77,7/9/2023,CUST077,Female,47,Clothing,2,50,100,9,7,2023,0,Clot,lothi,hing,09/07/2023,Clothing,50100,09-07-2023,,,,,,
78,7/1/2023,CUST078,Female,47,Clothing,3,500,1500,1,7,2023,0,Clot,lothi,hing,01/07/2023,Clothing,5001500,01-07-2023,,,,,,
79,4/18/2023,CUST079,Male,34,Beauty,1,300,300,18,4,2023,1,Beau,eauty,auty,18/04/2023,Beauty,300300,18-04-2023,,,,,,
80,12/10/2023,CUST080,Female,64,Clothing,2,30,60,10,12,2023,0,Clot,lothi,hing,10/12/2023,Clothing,3060,10-12-2023,,,,,,
81,5/17/2023,CUST081,Male,40,Electronics,1,50,50,17,5,2023,0,Elec,lectr,nics,17/05/2023,Electronics,5050,17-05-2023,,,,,,
82,12/26/2023,CUST082,Female,32,Beauty,4,50,200,26,12,2023,1,Beau,eauty,auty,26/12/2023,Beauty,50200,26-12-2023,,,,,,
83,12/16/2023,CUST083,Male,54,Electronics,2,50,100,16,12,2023,0,Elec,lectr,nics,16/12/2023,Electronics,50100,16-12-2023,,,,,,
84,11/28/2023,CUST084,Female,38,Electronics,3,30,90,28,11,2023,0,Elec,lectr,nics,28/11/2023,Electronics,3090,28-11-2023,,,,,,
85,2/6/2023,CUST085,Male,31,Clothing,3,50,150,6,2,2023,0,Clot,lothi,hing,06/02/2023,Clothing,50150,06-02-2023,,,,,,
86,11/8/2023,CUST086,Male,19,Beauty,3,30,90,8,11,2023,1,Beau,eauty,auty,08/11/2023,Beauty,3090,08-11-2023,,,,,,
87,11/22/2023,CUST087,Female,28,Beauty,2,50,100,22,11,2023,1,Beau,eauty,auty,22/11/2023,Beauty,50100,22-11-2023,,,,,,
88,3/29/2023,CUST088,Male,56,Clothing,1,500,500,29,3,2023,0,Clot,lothi,hing,29/03/2023,Clothing,500500,29-03-2023,,,,,,
89,10/1/2023,CUST089,Female,55,Electronics,4,500,2000,1,10,2023,0,Elec,lectr,nics,01/10/2023,Electronics,5002000,01-10-2023,,,,,,
90,5/6/2023,CUST090,Female,51,Electronics,1,30,30,6,5,2023,0,Elec,lectr,nics,06/05/2023,Electronics,3030,06-05-2023,,,,,,
91,3/25/2023,CUST091,Female,55,Electronics,1,500,500,25,3,2023,0,Elec,lectr,nics,25/03/2023,Electronics,500500,25-03-2023,,,,,,
92,8/25/2023,CUST092,Female,51,Electronics,4,30,120,25,8,2023,0,Elec,lectr,nics,25/08/2023,Electronics,30120,25-08-2023,,,,,,
93,7/14/2023,CUST093,Female,35,Beauty,4,500,2000,14,7,2023,1,Beau,eauty,auty,14/07/2023,Beauty,5002000,14-07-2023,,,,,,
94,5/19/2023,CUST094,Female,47,Beauty,2,500,1000,19,5,2023,1,Beau,eauty,auty,19/05/2023,Beauty,5001000,19-05-2023,,,,,,
95,11/24/2023,CUST095,Female,32,Clothing,2,30,60,24,11,2023,0,Clot,lothi,hing,24/11/2023,Clothing,3060,24-11-2023,,,,,,
96,12/19/2023,CUST096,Female,44,Clothing,2,300,600,19,12,2023,0,Clot,lothi,hing,19/12/2023,Clothing,300600,19-12-2023,,,,,,
97,10/13/2023,CUST097,Female,51,Beauty,2,500,1000,13,10,2023,1,Beau,eauty,auty,13/10/2023,Beauty,5001000,13-10-2023,,,,,,
98,4/23/2023,CUST098,Female,55,Beauty,2,50,100,23,4,2023,1,Beau,eauty,auty,23/04/2023,Beauty,50100,23-04-2023,,,,,,
99,12/17/2023,CUST099,Female,50,Electronics,4,300,1200,17,12,2023,0,Elec,lectr,nics,17/12/2023,Electronics,3001200,17-12-2023,,,,,,
100,6/16/2023,CUST100,Male,41,Electronics,1,30,30,16,6,2023,0,Elec,lectr,nics,16/06/2023,Electronics,3030,16-06-2023,,,,,,
101,1/29/2023,CUST101,Male,32,Clothing,2,300,600,29,1,2023,0,Clot,lothi,hing,29/01/2023,Clothing,300600,29-01-2023,,,,,,
102,4/28/2023,CUST102,Female,47,Beauty,2,25,50,28,4,2023,1,Beau,eauty,auty,28/04/2023,Beauty,2550,28-04-2023,,,,,,
103,1/17/2023,CUST103,Female,59,Clothing,1,25,25,17,1,2023,0,Clot,lothi,hing,17/01/2023,Clothing,2525,17-01-2023,,,,,,
104,6/11/2023,CUST104,Female,34,Beauty,2,500,1000,11,6,2023,1,Beau,eauty,auty,11/06/2023,Beauty,5001000,11-06-2023,,,,,,
105,7/25/2023,CUST105,Female,22,Electronics,1,500,500,25,7,2023,0,Elec,lectr,nics,25/07/2023,Electronics,500500,25-07-2023,,,,,,
106,5/18/2023,CUST106,Female,46,Clothing,1,50,50,18,5,2023,0,Clot,lothi,hing,18/05/2023,Clothing,5050,18-05-2023,,,,,,
107,2/3/2023,CUST107,Female,21,Clothing,4,300,1200,3,2,2023,0,Clot,lothi,hing,03/02/2023,Clothing,3001200,03-02-2023,,,,,,
108,4/19/2023,CUST108,Female,27,Beauty,3,25,75,19,4,2023,1,Beau,eauty,auty,19/04/2023,Beauty,2575,19-04-2023,,,,,,
109,10/18/2023,CUST109,Female,34,Electronics,4,500,2000,18,10,2023,0,Elec,lectr,nics,18/10/2023,Electronics,5002000,18-10-2023,,,,,,
110,6/11/2023,CUST110,Male,27,Clothing,3,300,900,11,6,2023,0,Clot,lothi,hing,11/06/2023,Clothing,300900,11-06-2023,,,,,,
111,4/19/2023,CUST111,Female,34,Electronics,3,500,1500,19,4,2023,0,Elec,lectr,nics,19/04/2023,Electronics,5001500,19-04-2023,,,,,,
112,12/2/2023,CUST112,Male,37,Clothing,3,500,1500,2,12,2023,0,Clot,lothi,hing,02/12/2023,Clothing,5001500,02-12-2023,,,,,,
113,9/13/2023,CUST113,Female,41,Electronics,2,25,50,13,9,2023,0,Elec,lectr,nics,13/09/2023,Electronics,2550,13-09-2023,,,,,,
114,7/22/2023,CUST114,Female,22,Beauty,4,25,100,22,7,2023,1,Beau,eauty,auty,22/07/2023,Beauty,25100,22-07-2023,,,,,,
115,11/26/2023,CUST115,Male,51,Clothing,3,500,1500,26,11,2023,0,Clot,lothi,hing,26/11/2023,Clothing,5001500,26-11-2023,,,,,,
116,8/23/2023,CUST116,Female,23,Clothing,1,30,30,23,8,2023,0,Clot,lothi,hing,23/08/2023,Clothing,3030,23-08-2023,,,,,,
117,3/15/2023,CUST117,Male,19,Electronics,2,500,1000,15,3,2023,0,Elec,lectr,nics,15/03/2023,Electronics,5001000,15-03-2023,,,,,,
118,5/16/2023,CUST118,Female,30,Electronics,4,500,2000,16,5,2023,0,Elec,lectr,nics,16/05/2023,Electronics,5002000,16-05-2023,,,,,,
119,3/13/2023,CUST119,Female,60,Clothing,3,50,150,13,3,2023,0,Clot,lothi,hing,13/03/2023,Clothing,50150,13-03-2023,,,,,,
120,5/7/2023,CUST120,Male,60,Beauty,1,50,50,7,5,2023,1,Beau,eauty,auty,07/05/2023,Beauty,5050,07-05-2023,,,,,,
121,10/15/2023,CUST121,Female,28,Electronics,4,50,200,15,10,2023,0,Elec,lectr,nics,15/10/2023,Electronics,50200,15-10-2023,,,,,,
122,10/3/2023,CUST122,Male,64,Electronics,4,30,120,3,10,2023,0,Elec,lectr,nics,03/10/2023,Electronics,30120,03-10-2023,,,,,,
123,5/15/2023,CUST123,Female,40,Electronics,2,30,60,15,5,2023,0,Elec,lectr,nics,15/05/2023,Electronics,3060,15-05-2023,,,,,,
124,10/27/2023,CUST124,Male,33,Clothing,4,500,2000,27,10,2023,0,Clot,lothi,hing,27/10/2023,Clothing,5002000,27-10-2023,,,,,,
125,8/8/2023,CUST125,Male,48,Clothing,2,50,100,8,8,2023,0,Clot,lothi,hing,08/08/2023,Clothing,50100,08-08-2023,,,,,,
126,10/26/2023,CUST126,Female,28,Clothing,3,30,90,26,10,2023,0,Clot,lothi,hing,26/10/2023,Clothing,3090,26-10-2023,,,,,,
127,7/24/2023,CUST127,Female,33,Clothing,2,25,50,24,7,2023,0,Clot,lothi,hing,24/07/2023,Clothing,2550,24-07-2023,,,,,,
128,7/5/2023,CUST128,Male,25,Beauty,1,500,500,5,7,2023,1,Beau,eauty,auty,05/07/2023,Beauty,500500,05-07-2023,,,,,,
129,4/23/2023,CUST129,Female,21,Beauty,2,300,600,23,4,2023,1,Beau,eauty,auty,23/04/2023,Beauty,300600,23-04-2023,,,,,,
130,3/12/2023,CUST130,Female,57,Clothing,1,500,500,12,3,2023,0,Clot,lothi,hing,12/03/2023,Clothing,500500,12-03-2023,,,,,,
131,9/18/2023,CUST131,Female,21,Beauty,2,300,600,18,9,2023,1,Beau,eauty,auty,18/09/2023,Beauty,300600,18-09-2023,,,,,,
132,9/10/2023,CUST132,Male,42,Electronics,4,50,200,10,9,2023,0,Elec,lectr,nics,10/09/2023,Electronics,50200,10-09-2023,,,,,,
133,2/16/2023,CUST133,Male,20,Electronics,3,300,900,16,2,2023,0,Elec,lectr,nics,16/02/2023,Electronics,300900,16-02-2023,,,,,,
134,1/25/2023,CUST134,Male,49,Electronics,1,50,50,25,1,2023,0,Elec,lectr,nics,25/01/2023,Electronics,5050,25-01-2023,,,,,,
135,2/26/2023,CUST135,Male,20,Clothing,2,25,50,26,2,2023,0,Clot,lothi,hing,26/02/2023,Clothing,2550,26-02-2023,,,,,,
136,3/20/2023,CUST136,Male,44,Electronics,2,300,600,20,3,2023,0,Elec,lectr,nics,20/03/2023,Electronics,300600,20-03-2023,,,,,,
137,11/18/2023,CUST137,Male,46,Beauty,2,500,1000,18,11,2023,1,Beau,eauty,auty,18/11/2023,Beauty,5001000,18-11-2023,,,,,,
138,3/23/2023,CUST138,Male,49,Clothing,4,50,200,23,3,2023,0,Clot,lothi,hing,23/03/2023,Clothing,50200,23-03-2023,,,,,,
139,12/15/2023,CUST139,Male,36,Beauty,4,500,2000,15,12,2023,1,Beau,eauty,auty,15/12/2023,Beauty,5002000,15-12-2023,,,,,,
140,8/5/2023,CUST140,Male,38,Electronics,1,30,30,5,8,2023,0,Elec,lectr,nics,05/08/2023,Electronics,3030,05-08-2023,,,,,,
141,11/2/2023,CUST141,Female,22,Electronics,1,50,50,2,11,2023,0,Elec,lectr,nics,02/11/2023,Electronics,5050,02-11-2023,,,,,,
142,2/2/2023,CUST142,Male,35,Electronics,4,300,1200,2,2,2023,0,Elec,lectr,nics,02/02/2023,Electronics,3001200,02-02-2023,,,,,,
143,7/17/2023,CUST143,Female,45,Clothing,1,50,50,17,7,2023,0,Clot,lothi,hing,17/07/2023,Clothing,5050,17-07-2023,,,,,,
144,7/15/2023,CUST144,Female,59,Beauty,3,500,1500,15,7,2023,1,Beau,eauty,auty,15/07/2023,Beauty,5001500,15-07-2023,,,,,,
145,11/2/2023,CUST145,Female,39,Clothing,3,25,75,2,11,2023,0,Clot,lothi,hing,02/11/2023,Clothing,2575,02-11-2023,,,,,,
146,8/28/2023,CUST146,Male,38,Clothing,4,50,200,28,8,2023,0,Clot,lothi,hing,28/08/2023,Clothing,50200,28-08-2023,,,,,,
147,9/28/2023,CUST147,Male,23,Electronics,1,300,300,28,9,2023,0,Elec,lectr,nics,28/09/2023,Electronics,300300,28-09-2023,,,,,,
148,5/9/2023,CUST148,Male,18,Clothing,2,30,60,9,5,2023,0,Clot,lothi,hing,09/05/2023,Clothing,3060,09-05-2023,,,,,,
149,10/11/2023,CUST149,Male,22,Clothing,3,25,75,11,10,2023,0,Clot,lothi,hing,11/10/2023,Clothing,2575,11-10-2023,,,,,,
150,1/6/2023,CUST150,Female,58,Electronics,4,30,120,6,1,2023,0,Elec,lectr,nics,06/01/2023,Electronics,30120,06-01-2023,,,,,,
151,12/15/2023,CUST151,Male,29,Clothing,1,50,50,15,12,2023,0,Clot,lothi,hing,15/12/2023,Clothing,5050,15-12-2023,,,,,,
152,2/28/2023,CUST152,Male,43,Electronics,4,500,2000,28,2,2023,0,Elec,lectr,nics,28/02/2023,Electronics,5002000,28-02-2023,,,,,,
153,12/16/2023,CUST153,Male,63,Electronics,2,500,1000,16,12,2023,0,Elec,lectr,nics,16/12/2023,Electronics,5001000,16-12-2023,,,,,,
154,10/2/2023,CUST154,Male,51,Electronics,3,300,900,2,10,2023,0,Elec,lectr,nics,02/10/2023,Electronics,300900,02-10-2023,,,,,,
155,5/17/2023,CUST155,Male,31,Electronics,4,500,2000,17,5,2023,0,Elec,lectr,nics,17/05/2023,Electronics,5002000,17-05-2023,,,,,,
156,11/25/2023,CUST156,Female,43,Clothing,4,25,100,25,11,2023,0,Clot,lothi,hing,25/11/2023,Clothing,25100,25-11-2023,,,,,,
157,6/24/2023,CUST157,Male,62,Electronics,4,500,2000,24,6,2023,0,Elec,lectr,nics,24/06/2023,Electronics,5002000,24-06-2023,,,,,,
158,2/27/2023,CUST158,Female,44,Electronics,2,300,600,27,2,2023,0,Elec,lectr,nics,27/02/2023,Electronics,300600,27-02-2023,,,,,,
159,5/31/2023,CUST159,Male,26,Clothing,4,50,200,31,5,2023,0,Clot,lothi,hing,31/05/2023,Clothing,50200,31-05-2023,,,,,,
160,8/11/2023,CUST160,Female,43,Clothing,2,50,100,11,8,2023,0,Clot,lothi,hing,11/08/2023,Clothing,50100,11-08-2023,,,,,,
161,3/22/2023,CUST161,Male,64,Beauty,2,500,1000,22,3,2023,1,Beau,eauty,auty,22/03/2023,Beauty,5001000,22-03-2023,,,,,,
162,8/21/2023,CUST162,Male,39,Clothing,2,30,60,21,8,2023,0,Clot,lothi,hing,21/08/2023,Clothing,3060,21-08-2023,,,,,,
163,1/2/2023,CUST163,Female,64,Clothing,3,50,150,2,1,2023,0,Clot,lothi,hing,02/01/2023,Clothing,50150,02-01-2023,,,,,,
164,5/15/2023,CUST164,Female,47,Beauty,3,500,1500,15,5,2023,1,Beau,eauty,auty,15/05/2023,Beauty,5001500,15-05-2023,,,,,,
165,9/14/2023,CUST165,Female,60,Clothing,4,300,1200,14,9,2023,0,Clot,lothi,hing,14/09/2023,Clothing,3001200,14-09-2023,,,,,,
166,4/2/2023,CUST166,Male,34,Clothing,4,500,2000,2,4,2023,0,Clot,lothi,hing,02/04/2023,Clothing,5002000,02-04-2023,,,,,,
167,9/17/2023,CUST167,Female,43,Clothing,3,50,150,17,9,2023,0,Clot,lothi,hing,17/09/2023,Clothing,50150,17-09-2023,,,,,,
168,2/24/2023,CUST168,Male,53,Clothing,1,300,300,24,2,2023,0,Clot,lothi,hing,24/02/2023,Clothing,300300,24-02-2023,,,,,,
169,11/17/2023,CUST169,Male,18,Beauty,3,500,1500,17,11,2023,1,Beau,eauty,auty,17/11/2023,Beauty,5001500,17-11-2023,,,,,,
170,6/2/2023,CUST170,Female,25,Clothing,2,25,50,2,6,2023,0,Clot,lothi,hing,02/06/2023,Clothing,2550,02-06-2023,,,,,,
171,11/24/2023,CUST171,Female,52,Clothing,3,300,900,24,11,2023,0,Clot,lothi,hing,24/11/2023,Clothing,300900,24-11-2023,,,,,,
172,9/17/2023,CUST172,Male,32,Beauty,2,25,50,17,9,2023,1,Beau,eauty,auty,17/09/2023,Beauty,2550,17-09-2023,,,,,,
173,11/8/2023,CUST173,Male,64,Electronics,4,30,120,8,11,2023,0,Elec,lectr,nics,08/11/2023,Electronics,30120,08-11-2023,,,,,,
174,4/12/2023,CUST174,Female,39,Beauty,1,300,300,12,4,2023,1,Beau,eauty,auty,12/04/2023,Beauty,300300,12-04-2023,,,,,,
